"state","district","democrat","republican","expectation"
"Alabama",2,45,55,"Republican expected to win easily"
"Alabama",3,33,67,"Republican expected to win easily"
"Alabama",5,33,67,"Republican expected to win easily"
"Alabama",6,25,75,"Republican expected to win easily"
"Alaska",0,36,51,"Republican expected to win narrowly"
"Arizona",1,51,43,"Democrat expected to win narrowly"
"Arizona",2,43,57,"Republican expected to win narrowly"
"Arizona",4,29,72,"Republican expected to win easily"
"Arizona",5,36,64,"Republican expected to win easily"
"Arizona",6,38,62,"Republican expected to win easily"
"Arizona",7,75,25,"Democrat expected to win easily"
"Arizona",9,61,39,"Democrat expected to win easily"
"Arkansas",2,37,58,"Republican expected to win easily"
"California",1,41,59,"Republican expected to win easily"
"California",2,77,23,"Democrat expected to win easily"
"California",3,59,41,"Democrat expected to win easily"
"California",4,37,63,"Republican expected to win easily"
"California",5,77,23,"Democrat expected to win easily"
"California",6,75,25,"Democrat expected to win easily"
"California",7,51,49,"Democrat expected to win narrowly"
"California",8,38,62,"Republican expected to win easily"
"California",9,57,43,"Democrat expected to win easily"
"California",10,48,52,"Tossup seat"
"California",11,72,28,"Democrat expected to win easily"
"California",13,91,9,"Democrat expected to win easily"
"California",14,81,19,"Democrat expected to win easily"
"California",15,74,26,"Democrat expected to win easily"
"California",16,58,42,"Democrat expected to win easily"
"California",18,71,29,"Democrat expected to win easily"
"California",19,74,26,"Democrat expected to win easily"
"California",20,71,29,"Democrat expected to win easily"
"California",21,43,57,"Republican expected to win narrowly"
"California",22,32,68,"Republican expected to win easily"
"California",23,31,69,"Republican expected to win easily"
"California",24,53,47,"Democrat expected to win narrowly"
"California",25,47,53,"Tossup seat"
"California",26,60,40,"Democrat expected to win easily"
"California",27,67,33,"Democrat expected to win easily"
"California",28,78,22,"Democrat expected to win easily"
"California",30,73,27,"Democrat expected to win easily"
"California",31,56,44,"Democrat expected to win easily"
"California",33,66,34,"Democrat expected to win easily"
"California",35,72,28,"Democrat expected to win easily"
"California",36,62,38,"Democrat expected to win easily"
"California",38,71,30,"Democrat expected to win easily"
"California",39,43,57,"Republican expected to win easily"
"California",41,65,35,"Democrat expected to win easily"
"California",42,41,59,"Republican expected to win easily"
"California",43,76,24,"Democrat expected to win easily"
"California",45,41,59,"Republican expected to win easily"
"California",47,64,36,"Democrat expected to win easily"
"California",48,42,58,"Republican expected to win easily"
"California",49,50,50,"Tossup seat"
"California",50,37,64,"Republican expected to win easily"
"California",51,73,27,"Democrat expected to win easily"
"California",52,57,44,"Democrat expected to win easily"
"California",53,67,33,"Democrat expected to win easily"
"Colorado",1,68,28,"Democrat expected to win easily"
"Colorado",2,57,37,"Democrat expected to win easily"
"Colorado",3,40,55,"Republican expected to win narrowly"
"Colorado",4,32,64,"Republican expected to win easily"
"Colorado",5,31,62,"Republican expected to win easily"
"Colorado",6,43,51,"Tossup seat"
"Colorado",7,55,40,"Democrat expected to win easily"
"Connecticut",1,64,34,"Democrat expected to win easily"
"Connecticut",2,63,34,"Democrat expected to win easily"
"Connecticut",3,69,31,"Democrat expected to win easily"
"Connecticut",4,60,40,"Democrat expected to win easily"
"Connecticut",5,58,42,"Democrat expected to win easily"
"Delaware",0,56,41,"Democrat expected to win easily"
"Florida",1,31,69,"Republican expected to win easily"
"Florida",2,30,67,"Republican expected to win narrowly"
"Florida",3,40,57,"Republican expected to win easily"
"Florida",4,28,70,"Republican expected to win easily"
"Florida",5,64,36,"Democrat expected to win easily"
"Florida",6,41,59,"Republican expected to win easily"
"Florida",7,52,49,"Tossup seat"
"Florida",8,33,63,"Republican expected to win easily"
"Florida",9,58,43,"Democrat expected to win easily"
"Florida",10,65,35,"Democrat expected to win narrowly"
"Florida",11,32,65,"Republican expected to win easily"
"Florida",12,31,69,"Republican expected to win easily"
"Florida",13,52,48,"Democrat expected to win narrowly"
"Florida",14,62,38,"Democrat expected to win easily"
"Florida",15,43,58,"Republican expected to win easily"
"Florida",16,40,60,"Republican expected to win easily"
"Florida",17,34,62,"Republican expected to win easily"
"Florida",18,43,54,"Republican expected to win narrowly"
"Florida",19,34,66,"Republican expected to win easily"
"Florida",20,80,20,"Democrat expected to win easily"
"Florida",21,63,35,"Democrat expected to win easily"
"Florida",22,59,41,"Democrat expected to win easily"
"Florida",23,57,41,"Democrat expected to win easily"
"Florida",25,38,62,"Republican expected to win easily"
"Florida",26,41,53,"Tossup seat"
"Florida",27,45,55,"Republican expected to win narrowly"
"Georgia",2,61,39,"Democrat expected to win easily"
"Georgia",3,32,68,"Republican expected to win easily"
"Georgia",4,76,24,"Democrat expected to win easily"
"Georgia",5,84,16,"Democrat expected to win easily"
"Georgia",6,38,62,"Republican expected to win easily"
"Georgia",7,40,60,"Republican expected to win easily"
"Georgia",8,32,68,"Republican expected to win easily"
"Georgia",11,33,67,"Republican expected to win easily"
"Georgia",12,38,62,"Republican expected to win easily"
"Hawaii",1,72,23,"Democrat expected to win easily"
"Hawaii",2,81,19,"Democrat expected to win easily"
"Idaho",1,32,68,"Republican expected to win easily"
"Idaho",2,29,63,"Republican expected to win easily"
"Illinois",1,74,26,"Democrat expected to win easily"
"Illinois",2,80,20,"Democrat expected to win easily"
"Illinois",5,68,28,"Democrat expected to win easily"
"Illinois",6,41,59,"Republican expected to win easily"
"Illinois",7,84,16,"Democrat expected to win easily"
"Illinois",8,58,42,"Democrat expected to win easily"
"Illinois",9,67,34,"Democrat expected to win easily"
"Illinois",10,53,47,"Tossup seat"
"Illinois",11,60,40,"Democrat expected to win easily"
"Illinois",12,40,54,"Republican expected to win narrowly"
"Illinois",13,40,60,"Republican expected to win easily"
"Illinois",14,41,59,"Republican expected to win easily"
"Illinois",17,60,40,"Democrat expected to win easily"
"Illinois",18,28,72,"Republican expected to win easily"
"Indiana",2,37,59,"Republican expected to win narrowly"
"Indiana",3,23,70,"Republican expected to win easily"
"Indiana",4,31,65,"Republican expected to win easily"
"Indiana",5,34,62,"Republican expected to win easily"
"Indiana",6,27,69,"Republican expected to win easily"
"Indiana",7,60,36,"Democrat expected to win easily"
"Indiana",8,32,64,"Republican expected to win easily"
"Indiana",9,41,54,"Republican expected to win narrowly"
