start_year,member_state,last_name
2009,Austria,Berger
2003,Belgium,Lenaerts
2007,Bulgaria,Arabadjiev
2013,Croatia,Rodin
2014,Cyprus,Lycourgos
2004,Czech Republic,Malenovský
2006,Denmark,Bay Larsen
2013,Estonia,Jürimäe
2002,Finland,Rosas
2006,France,Bonichot
2006,Germany,von Danwitz
1999,Greece,Skouris
2004,Hungary,Juhász
2004,Ireland,Ó Caoimh
2006,Italy,Tizzano
2004,Latvia,Levits
2010,Lithuania,Jarašiūnas
2013,Luxembourg,Biltgen
2004,Malta,Borg Barthet
2010,Netherlands,Prechal
2009,Poland,Safjan
2012,Portugal,Cruz Vilaça
2007,Romania,Toader
2009,Slovakia,Šváby
2004,Slovenia,Ilešič
2003,Spain,Silva de Lapuerta
2011,Sweden,Fernlund
2012,United Kingdom,Vajda
